GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.data,Vehicle,159,0,8,0,29,0,9,0,5,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.data,Bus,88,0,6,0,19,0,10,0,7,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.data,Model,331,0,42,0,98,0,40,0,19,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.data,Train,126,0,8,0,25,0,11,0,7,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.data,Propulsion,89,0,10,0,22,0,12,0,4,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda,PujcovnaCmd,58,0,6,0,18,0,7,0,4,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.perzistence,TextReader,89,0,6,0,15,0,9,0,6,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.perzistence,TextWriter,99,0,6,0,17,0,9,0,6,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.perzistence,BinaryWriter,4,0,0,0,2,0,1,0,1,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.perzistence,BinaryReader,4,0,0,0,2,0,1,0,1,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.perzistence,TextReader.new Iterator() {...},36,0,2,0,7,0,4,0,3,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.perzistence,ListWriter,71,0,2,0,23,0,4,0,3,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.perzistence,XMLReader,152,0,8,0,35,0,7,0,3,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.perzistence,CSVReader,171,0,14,0,36,0,11,0,4,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.perzistence,CSVWriter,200,0,20,0,47,0,15,0,5,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.perzistence,FileManipulator,83,0,12,0,20,0,11,0,5,0
PujcovnaCmdSkoda,cz.upce.fei.skoda.boop.pujcovnacmdskoda.perzistence,XMLWriter,208,0,4,0,52,0,6,0,4,0
